--env SUMMARY	--env FOLD
C3_EYE_ADNEXA.gwas.imputed_v3.both_sexes.tsv	tsk109
C3_EYE_BRAIN_NEURO.gwas.imputed_v3.both_sexes.tsv	tsk110
C3_FEMALE_GENITAL.gwas.imputed_v3.both_sexes.tsv	tsk111
C3_KIDNEY_NOTRENALPELVIS.gwas.imputed_v3.both_sexes.tsv	tsk112
C3_LARYNX.gwas.imputed_v3.both_sexes.tsv	tsk113
C3_LIP_ORAL_PHARYNX.gwas.imputed_v3.both_sexes.tsv	tsk114
C3_LIVER_INTRAHEPATIC_BILE_DUCTS.gwas.imputed_v3.both_sexes.tsv	tsk115
C3_LYMPHNODES_SECONDARY_NAS.gwas.imputed_v3.both_sexes.tsv	tsk116
C3_MALE_GENITAL.gwas.imputed_v3.both_sexes.tsv	tsk117
C3_MELANOMA_SKIN.gwas.imputed_v3.both_sexes.tsv	tsk118
C3_MESOTHELIOMA.gwas.imputed_v3.both_sexes.tsv	tsk119
C3_MESTOTHEL_SOFTTISSUE.gwas.imputed_v3.both_sexes.tsv	tsk120
C3_OESOPHAGUS.gwas.imputed_v3.both_sexes.tsv	tsk121
C3_OTHER_SKIN.gwas.imputed_v3.both_sexes.tsv	tsk122
C3_OVARY.gwas.imputed_v3.both_sexes.tsv	tsk123
C3_PANCREAS.gwas.imputed_v3.both_sexes.tsv	tsk124
C3_PRIMARY_LYMPHOID_HEMATOPOIETIC.gwas.imputed_v3.both_sexes.tsv	tsk125
C3_PROSTATE.gwas.imputed_v3.both_sexes.tsv	tsk126
C3_RECTOISIGMOID_JUNCTION.gwas.imputed_v3.both_sexes.tsv	tsk127
C3_RECTUM.gwas.imputed_v3.both_sexes.tsv	tsk128
C3_RESPIRATORY_INTRATHORACIC.gwas.imputed_v3.both_sexes.tsv	tsk129
C3_SECONDARY_RESPIRATORY_DIGESTIVE.gwas.imputed_v3.both_sexes.tsv	tsk130
C3_SECONDARY_WITHOUT_SITESPEC.gwas.imputed_v3.both_sexes.tsv	tsk131
C3_SKIN.gwas.imputed_v3.both_sexes.tsv	tsk132
C3_SMALL_INTESTINE.gwas.imputed_v3.both_sexes.tsv	tsk133
C3_STOMACH.gwas.imputed_v3.both_sexes.tsv	tsk134
C3_TESTIS.gwas.imputed_v3.both_sexes.tsv	tsk135
C3_THYROID_GLAND.gwas.imputed_v3.both_sexes.tsv	tsk136
C3_TONGUENAS.gwas.imputed_v3.both_sexes.tsv	tsk137
C3_TONSIL.gwas.imputed_v3.both_sexes.tsv	tsk138
C3_UNCERTAIN_SECONDARY.gwas.imputed_v3.both_sexes.tsv	tsk139
C3_URINARY_TRACT.gwas.imputed_v3.both_sexes.tsv	tsk140
C32.gwas.imputed_v3.both_sexes.tsv	tsk141
C34.gwas.imputed_v3.both_sexes.tsv	tsk142
C43.gwas.imputed_v3.both_sexes.tsv	tsk143
C44.gwas.imputed_v3.both_sexes.tsv	tsk144
C45.gwas.imputed_v3.both_sexes.tsv	tsk145
C48.gwas.imputed_v3.both_sexes.tsv	tsk146
C49.gwas.imputed_v3.both_sexes.tsv	tsk147
C50.gwas.imputed_v3.both_sexes.tsv	tsk148
C53.gwas.imputed_v3.both_sexes.tsv	tsk149
C54.gwas.imputed_v3.both_sexes.tsv	tsk150
C56.gwas.imputed_v3.both_sexes.tsv	tsk151
C61.gwas.imputed_v3.both_sexes.tsv	tsk152
C62.gwas.imputed_v3.both_sexes.tsv	tsk153
C64.gwas.imputed_v3.both_sexes.tsv	tsk154
C67.gwas.imputed_v3.both_sexes.tsv	tsk155
C69.gwas.imputed_v3.both_sexes.tsv	tsk156
C71.gwas.imputed_v3.both_sexes.tsv	tsk157
C73.gwas.imputed_v3.both_sexes.tsv	tsk158
C77.gwas.imputed_v3.both_sexes.tsv	tsk159
C78.gwas.imputed_v3.both_sexes.tsv	tsk160
C79.gwas.imputed_v3.both_sexes.tsv	tsk161
C80.gwas.imputed_v3.both_sexes.tsv	tsk162
C81.gwas.imputed_v3.both_sexes.tsv	tsk163
C82.gwas.imputed_v3.both_sexes.tsv	tsk164
C83.gwas.imputed_v3.both_sexes.tsv	tsk165
C85.gwas.imputed_v3.both_sexes.tsv	tsk166
C90.gwas.imputed_v3.both_sexes.tsv	tsk167
C91.gwas.imputed_v3.both_sexes.tsv	tsk168
C92.gwas.imputed_v3.both_sexes.tsv	tsk169
CAMPYLOENTERITIS.gwas.imputed_v3.both_sexes.tsv	tsk170
CARDIAC_ARRHYTM.gwas.imputed_v3.both_sexes.tsv	tsk171
CHILDHOOD_ALLERGY.gwas.imputed_v3.both_sexes.tsv	tsk172
CHIRHEP_NAS.gwas.imputed_v3.both_sexes.tsv	tsk173
CHRONLARGE.gwas.imputed_v3.both_sexes.tsv	tsk174
CHRONNAS.gwas.imputed_v3.both_sexes.tsv	tsk175
CHRONSMALL.gwas.imputed_v3.both_sexes.tsv	tsk176
COLITNONINFNAS.gwas.imputed_v3.both_sexes.tsv	tsk177
CONGEN_HEART_ARTER.gwas.imputed_v3.both_sexes.tsv	tsk178
COPD_EARLYANDLATER.gwas.imputed_v3.both_sexes.tsv	tsk179
COPD_EXCL.gwas.imputed_v3.both_sexes.tsv	tsk180
COPD_OPPORTUNIST_INFECTIONS.gwas.imputed_v3.both_sexes.tsv	tsk181
COX_ARTHROSIS.gwas.imputed_v3.both_sexes.tsv	tsk182
D03.gwas.imputed_v3.both_sexes.tsv	tsk183
D04.gwas.imputed_v3.both_sexes.tsv	tsk184
D05.gwas.imputed_v3.both_sexes.tsv	tsk185
D06.gwas.imputed_v3.both_sexes.tsv	tsk186
D07.gwas.imputed_v3.both_sexes.tsv	tsk187
D09.gwas.imputed_v3.both_sexes.tsv	tsk188
D10.gwas.imputed_v3.both_sexes.tsv	tsk189
D11.gwas.imputed_v3.both_sexes.tsv	tsk190
D12.gwas.imputed_v3.both_sexes.tsv	tsk191
D13.gwas.imputed_v3.both_sexes.tsv	tsk192
D14.gwas.imputed_v3.both_sexes.tsv	tsk193
D16.gwas.imputed_v3.both_sexes.tsv	tsk194
D17.gwas.imputed_v3.both_sexes.tsv	tsk195
D18.gwas.imputed_v3.both_sexes.tsv	tsk196
D21.gwas.imputed_v3.both_sexes.tsv	tsk197
D22.gwas.imputed_v3.both_sexes.tsv	tsk198
D23.gwas.imputed_v3.both_sexes.tsv	tsk199
D24.gwas.imputed_v3.both_sexes.tsv	tsk200
D25.gwas.imputed_v3.both_sexes.tsv	tsk201
D26.gwas.imputed_v3.both_sexes.tsv	tsk202
D27.gwas.imputed_v3.both_sexes.tsv	tsk203
D28.gwas.imputed_v3.both_sexes.tsv	tsk204
D3_ANAEMIA_IRONDEF.gwas.imputed_v3.both_sexes.tsv	tsk205
D3_ANAEMIANAS.gwas.imputed_v3.both_sexes.tsv	tsk206
D3_BLOODNAS.gwas.imputed_v3.both_sexes.tsv	tsk207
D3_COAGOTHER.gwas.imputed_v3.both_sexes.tsv	tsk208
D3_HYPERGAMMAGLONAS.gwas.imputed_v3.both_sexes.tsv	tsk209
D3_IMMUNEMECHANISMOTHER.gwas.imputed_v3.both_sexes.tsv	tsk210
D3_ITP.gwas.imputed_v3.both_sexes.tsv	tsk211
D3_OTHERANAEMIA.gwas.imputed_v3.both_sexes.tsv	tsk212
D3_OTHERBLOOD.gwas.imputed_v3.both_sexes.tsv	tsk213
D3_PURPURA_AND3_OTHER_HAEMORRHAGIC.gwas.imputed_v3.both_sexes.tsv	tsk214
D3_SCNDPOLYCYTHAEMIA.gwas.imputed_v3.both_sexes.tsv	tsk215
D3_THROMBOCYTOPENIANAS.gwas.imputed_v3.both_sexes.tsv	tsk216
D30.gwas.imputed_v3.both_sexes.tsv	tsk217
D32.gwas.imputed_v3.both_sexes.tsv	tsk218
D33.gwas.imputed_v3.both_sexes.tsv	tsk219
D34.gwas.imputed_v3.both_sexes.tsv	tsk220
D35.gwas.imputed_v3.both_sexes.tsv	tsk221
D36.gwas.imputed_v3.both_sexes.tsv	tsk222
D37.gwas.imputed_v3.both_sexes.tsv	tsk223
D38.gwas.imputed_v3.both_sexes.tsv	tsk224
D39.gwas.imputed_v3.both_sexes.tsv	tsk225
D41.gwas.imputed_v3.both_sexes.tsv	tsk226
D43.gwas.imputed_v3.both_sexes.tsv	tsk227
D44.gwas.imputed_v3.both_sexes.tsv	tsk228
D45.gwas.imputed_v3.both_sexes.tsv	tsk229
D46.gwas.imputed_v3.both_sexes.tsv	tsk230
D47.gwas.imputed_v3.both_sexes.tsv	tsk231
D48.gwas.imputed_v3.both_sexes.tsv	tsk232
D50.gwas.imputed_v3.both_sexes.tsv	tsk233
D61.gwas.imputed_v3.both_sexes.tsv	tsk234
D63.gwas.imputed_v3.both_sexes.tsv	tsk235
D64.gwas.imputed_v3.both_sexes.tsv	tsk236
D69.gwas.imputed_v3.both_sexes.tsv	tsk237
D70.gwas.imputed_v3.both_sexes.tsv	tsk238
D75.gwas.imputed_v3.both_sexes.tsv	tsk239
D86.gwas.imputed_v3.both_sexes.tsv	tsk240
D89.gwas.imputed_v3.both_sexes.tsv	tsk241
DM_BCKGRND_RETINOPAT.gwas.imputed_v3.both_sexes.tsv	tsk242
DM_HYPOGLYC.gwas.imputed_v3.both_sexes.tsv	tsk243
DM_KETOACIDOSIS.gwas.imputed_v3.both_sexes.tsv	tsk244
DM_PERIPH_ANGIOPATHY.gwas.imputed_v3.both_sexes.tsv	tsk245
DM_PERIPHATHERO.gwas.imputed_v3.both_sexes.tsv	tsk246
DM_RETINOPAT_NOS.gwas.imputed_v3.both_sexes.tsv	tsk247
E03.gwas.imputed_v3.both_sexes.tsv	tsk248
E04.gwas.imputed_v3.both_sexes.tsv	tsk249
E05.gwas.imputed_v3.both_sexes.tsv	tsk250
E10.gwas.imputed_v3.both_sexes.tsv	tsk251
E11.gwas.imputed_v3.both_sexes.tsv	tsk252
E14.gwas.imputed_v3.both_sexes.tsv	tsk253
E16.gwas.imputed_v3.both_sexes.tsv	tsk254
E21.gwas.imputed_v3.both_sexes.tsv	tsk255
E22.gwas.imputed_v3.both_sexes.tsv	tsk256
E23.gwas.imputed_v3.both_sexes.tsv	tsk257
E27.gwas.imputed_v3.both_sexes.tsv	tsk258
E4_DM1.gwas.imputed_v3.both_sexes.tsv	tsk259
E4_DM1KETO.gwas.imputed_v3.both_sexes.tsv	tsk260
E4_DM1NOCOMP.gwas.imputed_v3.both_sexes.tsv	tsk261
E4_DM1OPTH.gwas.imputed_v3.both_sexes.tsv	tsk262
E4_DM2.gwas.imputed_v3.both_sexes.tsv	tsk263
E4_DM2NOCOMP.gwas.imputed_v3.both_sexes.tsv	tsk264
E4_DM2OPTH.gwas.imputed_v3.both_sexes.tsv	tsk265
E4_DM2PERIPH.gwas.imputed_v3.both_sexes.tsv	tsk266
E4_DMNASOPTH.gwas.imputed_v3.both_sexes.tsv	tsk267
E4_HYTHYNAS.gwas.imputed_v3.both_sexes.tsv	tsk268
E4_NUTRIDEF.gwas.imputed_v3.both_sexes.tsv	tsk269
E4_OBESITY.gwas.imputed_v3.both_sexes.tsv	tsk270
E4_OBESITYNAS.gwas.imputed_v3.both_sexes.tsv	tsk271
E4_THYTOXGOITDIF.gwas.imputed_v3.both_sexes.tsv	tsk272
E4_THYTOXNAS.gwas.imputed_v3.both_sexes.tsv	tsk273
E66.gwas.imputed_v3.both_sexes.tsv	tsk274
E83.gwas.imputed_v3.both_sexes.tsv	tsk275
E86.gwas.imputed_v3.both_sexes.tsv	tsk276
E87.gwas.imputed_v3.both_sexes.tsv	tsk277
ENDOMETRIOSIS_NOS.gwas.imputed_v3.both_sexes.tsv	tsk278
ENDOMETRIOSIS_OVARY.gwas.imputed_v3.both_sexes.tsv	tsk279
ENDOMETRIOSIS_PELVICPERITONEUM.gwas.imputed_v3.both_sexes.tsv	tsk280
ENDOMETRIOSIS_UTERUS.gwas.imputed_v3.both_sexes.tsv	tsk281
F05.gwas.imputed_v3.both_sexes.tsv	tsk282
F10.gwas.imputed_v3.both_sexes.tsv	tsk283
F20.gwas.imputed_v3.both_sexes.tsv	tsk284
F31.gwas.imputed_v3.both_sexes.tsv	tsk285
F32.gwas.imputed_v3.both_sexes.tsv	tsk286
F33.gwas.imputed_v3.both_sexes.tsv	tsk287
F41.gwas.imputed_v3.both_sexes.tsv	tsk288
F43.gwas.imputed_v3.both_sexes.tsv	tsk289
F45.gwas.imputed_v3.both_sexes.tsv	tsk290
F5_ALCOHOLAC.gwas.imputed_v3.both_sexes.tsv	tsk291
F5_ALLANXIOUS.gwas.imputed_v3.both_sexes.tsv	tsk292
F5_ANXIETY.gwas.imputed_v3.both_sexes.tsv	tsk293
F5_BEHAVE.gwas.imputed_v3.both_sexes.tsv	tsk294
F5_DEMENTIA.gwas.imputed_v3.both_sexes.tsv	tsk295
F5_DEPRESSIO.gwas.imputed_v3.both_sexes.tsv	tsk296
F5_MOOD.gwas.imputed_v3.both_sexes.tsv	tsk297
F5_PANIC.gwas.imputed_v3.both_sexes.tsv	tsk298
F5_PERSONALITY.gwas.imputed_v3.both_sexes.tsv	tsk299
F5_SCHIZO.gwas.imputed_v3.both_sexes.tsv	tsk300
F52.gwas.imputed_v3.both_sexes.tsv	tsk301
F99.gwas.imputed_v3.both_sexes.tsv	tsk302
FIBRO_COMORB.gwas.imputed_v3.both_sexes.tsv	tsk303
G12.gwas.imputed_v3.both_sexes.tsv	tsk304
G20.gwas.imputed_v3.both_sexes.tsv	tsk305
G24.gwas.imputed_v3.both_sexes.tsv	tsk306
G35.gwas.imputed_v3.both_sexes.tsv	tsk307
G37.gwas.imputed_v3.both_sexes.tsv	tsk308
G40.gwas.imputed_v3.both_sexes.tsv	tsk309
G43.gwas.imputed_v3.both_sexes.tsv	tsk310
G44.gwas.imputed_v3.both_sexes.tsv	tsk311
G45.gwas.imputed_v3.both_sexes.tsv	tsk312
G47.gwas.imputed_v3.both_sexes.tsv	tsk313
G50.gwas.imputed_v3.both_sexes.tsv	tsk314
G51.gwas.imputed_v3.both_sexes.tsv	tsk315
G54.gwas.imputed_v3.both_sexes.tsv	tsk316
G56.gwas.imputed_v3.both_sexes.tsv	tsk317
G57.gwas.imputed_v3.both_sexes.tsv	tsk318
G58.gwas.imputed_v3.both_sexes.tsv	tsk319
G6_ALS.gwas.imputed_v3.both_sexes.tsv	tsk320
G6_BELLPA.gwas.imputed_v3.both_sexes.tsv	tsk321
G6_CARPTU.gwas.imputed_v3.both_sexes.tsv	tsk322
G6_CONCUS.gwas.imputed_v3.both_sexes.tsv	tsk323
G6_CPETAL.gwas.imputed_v3.both_sexes.tsv	tsk324
G6_DEGENOTH.gwas.imputed_v3.both_sexes.tsv	tsk325
G6_DEMYEL.gwas.imputed_v3.both_sexes.tsv	tsk326
G6_DIFBRAININJ.gwas.imputed_v3.both_sexes.tsv	tsk327
G6_DISBROTHUNS.gwas.imputed_v3.both_sexes.tsv	tsk328
G6_EPIPAROX.gwas.imputed_v3.both_sexes.tsv	tsk329
G6_GUILBAR.gwas.imputed_v3.both_sexes.tsv	tsk330
G6_HYDROCEPH.gwas.imputed_v3.both_sexes.tsv	tsk331
G6_ICTRAUOTHUNS.gwas.imputed_v3.both_sexes.tsv	tsk332
G6_INTRACRATRAUMA.gwas.imputed_v3.both_sexes.tsv	tsk333
G6_MONOLOWOTHUNS.gwas.imputed_v3.both_sexes.tsv	tsk334
G6_MONOOTHUNS.gwas.imputed_v3.both_sexes.tsv	tsk335
G6_MYONEU.gwas.imputed_v3.both_sexes.tsv	tsk336
G6_NERPLEX.gwas.imputed_v3.both_sexes.tsv	tsk337
G6_NEUATR.gwas.imputed_v3.both_sexes.tsv	tsk338
G6_NEUINFL.gwas.imputed_v3.both_sexes.tsv	tsk339
G6_NEURODEG.gwas.imputed_v3.both_sexes.tsv	tsk340
G6_PLANTAR.gwas.imputed_v3.both_sexes.tsv	tsk341
G6_POLYNEU.gwas.imputed_v3.both_sexes.tsv	tsk342
G6_POLYOTHUNS.gwas.imputed_v3.both_sexes.tsv	tsk343
G6_ROOTPLEXOTHUNS.gwas.imputed_v3.both_sexes.tsv	tsk344
G6_SAHTRAU.gwas.imputed_v3.both_sexes.tsv	tsk345
G6_SDHTRAU.gwas.imputed_v3.both_sexes.tsv	tsk346
G6_SLEEPAPNO.gwas.imputed_v3.both_sexes.tsv	tsk347
G6_TRINEU.gwas.imputed_v3.both_sexes.tsv	tsk348
G6_ULLNLE.gwas.imputed_v3.both_sexes.tsv	tsk349
G6_XTRAPYR.gwas.imputed_v3.both_sexes.tsv	tsk350
G61.gwas.imputed_v3.both_sexes.tsv	tsk351
G62.gwas.imputed_v3.both_sexes.tsv	tsk352
G81.gwas.imputed_v3.both_sexes.tsv	tsk353
G93.gwas.imputed_v3.both_sexes.tsv	tsk354
G95.gwas.imputed_v3.both_sexes.tsv	tsk355
GLOMER_NEPHRITIS.gwas.imputed_v3.both_sexes.tsv	tsk356
GOUT_NOS.gwas.imputed_v3.both_sexes.tsv	tsk357
GOUT.gwas.imputed_v3.both_sexes.tsv	tsk358
H00.gwas.imputed_v3.both_sexes.tsv	tsk359
H01.gwas.imputed_v3.both_sexes.tsv	tsk360
H02.gwas.imputed_v3.both_sexes.tsv	tsk361
H04.gwas.imputed_v3.both_sexes.tsv	tsk362
H05.gwas.imputed_v3.both_sexes.tsv	tsk363
H11.gwas.imputed_v3.both_sexes.tsv	tsk364
H16.gwas.imputed_v3.both_sexes.tsv	tsk365
H18.gwas.imputed_v3.both_sexes.tsv	tsk366
H25.gwas.imputed_v3.both_sexes.tsv	tsk367
H26.gwas.imputed_v3.both_sexes.tsv	tsk368
H27.gwas.imputed_v3.both_sexes.tsv	tsk369
H33.gwas.imputed_v3.both_sexes.tsv	tsk370
H34.gwas.imputed_v3.both_sexes.tsv	tsk371
H35.gwas.imputed_v3.both_sexes.tsv	tsk372
H40.gwas.imputed_v3.both_sexes.tsv	tsk373
H43.gwas.imputed_v3.both_sexes.tsv	tsk374
H49.gwas.imputed_v3.both_sexes.tsv	tsk375
H50.gwas.imputed_v3.both_sexes.tsv	tsk376
H52.gwas.imputed_v3.both_sexes.tsv	tsk377
H53.gwas.imputed_v3.both_sexes.tsv	tsk378
H57.gwas.imputed_v3.both_sexes.tsv	tsk379
H59.gwas.imputed_v3.both_sexes.tsv	tsk380
H60.gwas.imputed_v3.both_sexes.tsv	tsk381
H61.gwas.imputed_v3.both_sexes.tsv	tsk382
H65.gwas.imputed_v3.both_sexes.tsv	tsk383
H66.gwas.imputed_v3.both_sexes.tsv	tsk384
H69.gwas.imputed_v3.both_sexes.tsv	tsk385
H7_BCKRNDRETINOPAT.gwas.imputed_v3.both_sexes.tsv	tsk386
H7_BLEPHAROCHALASIS.gwas.imputed_v3.both_sexes.tsv	tsk387
H7_CHALAZION.gwas.imputed_v3.both_sexes.tsv	tsk388
H7_CONJUNAS.gwas.imputed_v3.both_sexes.tsv	tsk389
H7_CONJUVASC.gwas.imputed_v3.both_sexes.tsv	tsk390
H7_CONVERSTRAB.gwas.imputed_v3.both_sexes.tsv	tsk391
H7_CORNEALOTH.gwas.imputed_v3.both_sexes.tsv	tsk392
H7_CORNULCER.gwas.imputed_v3.both_sexes.tsv	tsk393
H7_DIPLOPIA.gwas.imputed_v3.both_sexes.tsv	tsk394
H7_DIVERGSTRAB.gwas.imputed_v3.both_sexes.tsv	tsk395
H7_ECTROPION.gwas.imputed_v3.both_sexes.tsv	tsk396
H7_ENTROPION.gwas.imputed_v3.both_sexes.tsv	tsk397
